1.5m humi,1.5m temp,5cm earth,radio,all_product
69,21.6,25,23.24,9667.7
65,21.5,25.5,20.28,4098.3
55,25,28,,58
77,23.2,24.3,12.42,10
74,25,27.6,23.51,954
75,21.6,25.2,,8
92,20.7,24.8,5.07,1149.2
76,20.4,24.6,14.27,8938.4
71,20.1,23.6,10.17,5255
91,21.6,26.3,5.77,1302.9
90,21,23.6,8.26,1679.1
87,21.2,24.3,,60
83,23.5,25.6,12.04,10
84,21.4,23.4,10.48,12339.9
83,19.7,21.6,8.57,3569.8
98,21.4,25,6.83,1235
83,22.9,24.3,18.93,2451.8
83,21.9,23.9,17.42,7054.7
81,21.4,23.2,15.57,4456
84,22.2,25.1,,16
90,23.1,26.4,19.76,1838.2
93,21.9,23.7,,58
86,22.7,24.8,14.99,1450.3
76,24,25.5,25.28,12473.1
78,23.3,25.4,22.53,4744.5
91,23.4,26.4,14.81,2100.25
91,23.1,25.1,,25.5
86,23.7,26,18.79,2467.3
89,22,26.1,7.16,300
93,22.1,25.3,14.62,19520.7
82,22.4,24.7,15.03,5926.4
84,23.9,25.1,11.58,100
89,24.9,27.7,19.1,1774.9
84,23.9,26.1,,36
85,23.9,26.3,16.62,1062.4
77,24.2,27,18.89,10
87,23.1,25.1,23.25,23520.9
82,23,25.4,17.82,6625.3
78,25.1,25.2,19.08,150
82,24.1,25.3,17.45,50
88,25.2,27.9,21.6,1578
81,24.2,25.9,,75
82,24.3,26.6,22.35,741.9
80,24.4,27.6,18.23,170
87,24,25.5,16.49,17796.7
82,23.5,25.3,14.99,5753.5
75,25.9,25.5,15.86,80
87,26.1,28.3,17.46,1159
80,25.2,26.9,,111
91,22.9,25.8,9.78,746.7
78,25.9,27.3,29.06,19183.2
75,25.4,27.6,24.91,6203.7
90,22.9,24.2,4.96,20
94,24.8,28,11.51,1695.5
89,24.3,25.2,5.65,734.1
76,27.2,28,25.68,24836.8
79,26.7,27,,116
74,26.8,28.8,23.43,5617.1
88,27,28,11.04,853.85
82,26.3,26.3,,170
91,24,24.7,5.61,748.9
73,27.2,26.9,11.57,25790.4
71,26.4,26.4,6.56,5716.7
97,25.6,28.1,7.68,730.35
91,25.1,26.6,,90
91,25.8,26.4,20.36,567.4
79,27.1,28,24.15,280
87,26.2,26.7,20.79,24184.7
79,25.9,25.9,13.4,7620.1
,,,,50
,,,20.17,1296.5
86,26.7,27.4,,71
86,26.7,27.7,23.36,378.1
78,28.2,29.7,25.75,20
87,26.9,27.7,20.15,22480
84,25.5,26.5,12.29,7025.9
,,,,150
86,28.6,29.3,21.07,1183.8
97,25.9,26.8,7.22,30029.4
90,25.9,27.2,7.39,320.2
87,25.8,26.3,8.44,8036.2
94,25.6,26.4,,119
88,26.5,,0,122
92,27.8,29,8.58,1528.5
,,,,86
89,26.9,27.4,11.58,437.8
99,25.6,26.4,5.73,31350.4
89,26,26.5,11.64,6144.5
95,26.2,,0,20
91,26.5,26.2,8.08,70
98,27.4,28.7,7.45,1673.9
90,26.8,27.6,8.63,466.4
89,27,28.3,11.04,100
99,24.5,25.5,2.83,30250.5
95,23.7,24.7,4.63,7495.9
97,24.9,25.3,,93
98,26.9,28.8,5.65,1320.85
98,25.5,27,5.74,541.1
92,26.6,26.7,,12
88,27.6,27.8,23.46,27981.4
84,26.7,27.7,22,5613
84,28.3,,0,30
94,26.2,26.4,3.56,100
97,27.3,28.5,9.41,1063.35
87,26.8,26.5,,130
84,27.2,29.5,22.8,160
95,26.4,26.6,9.57,34329.5
82,26.4,26,12.38,5637.6
87,28.3,29,22.51,952.5
88,26.7,28.1,22.88,527
91,27.1,26.7,,52
98,26,26.2,3.35,24419.3
87,25.7,25.4,3.96,5715.4
83,28.2,28.2,22.12,3
89,28.9,29.5,20.15,1286
97,26.2,26.2,,50
85,27.7,28.8,23.97,319.6
78,28.8,30.5,22.18,10
98,24.8,26.2,6.53,47462.1
89,25.1,25.2,5.87,6869.1
89,26.9,,0,80
83,28.2,28.6,23.16,50
86,29.2,29.8,20.73,1593
90,27.3,27.6,,20
84,27.8,29.6,23.97,300.6
90,26.6,27.4,21.42,39290.1
